"",element,car_names,car_prices,car_registered_date,car_km,car_PS,car_configuration,car_fuelType,car_adresse,Datum,Marke,Typ_grob,Typ,Status,VerkauftIn
"5461",5461,FIAT 500 0.9Twinair Collezione,8300,10.2017,57'000,80,Handschaltung,Benzin,9050 Appenzell,2023-11-22,FIAT ,500 ,500 0.9Twinair ,,FALSE
"5462",5462,BMW 318i,26500,06.1985,73'301,105,Handschaltung,Benzin,4500 Solothurn,2023-11-22,BMW ,"","",,FALSE
"5463",5463,PEUGEOT 508 RXH 2.0 HDI Hybrid4 EGS6,10500,02.2013,155'000,200,Automatikgetriebe,Hybrid,5706 Boniswil,2023-11-22,PEUGEOT ,508 ,508 RXH ,,FALSE
"5464",5464,MERCEDES-BENZ E 450 Coupé AMG Line 4 Matic 9G-Tronic,49500,11.2019,65'000,367,Automatikgetriebe,Benzin,8180 Bülach,2023-11-22,MERCEDES-BENZ ,E ,E 450 ,,FALSE
"5465",5465,BMW 520d xDrive Touring Sport Line Steptronic,32500,08.2018,107'000,190,Automatikgetriebe,Diesel,9050 Appenzell Steinegg,2023-11-22,BMW ,520d ,520d xDrive ,,FALSE
"5466",5466,MERCEDES-BENZ GLA 220 AMG Line 4Matic 7G-DCT,25700,07.2018,104'162,184,Automatikgetriebe,Benzin,5436 Würenlos,2023-11-22,MERCEDES-BENZ ,GLA ,GLA 220 ,,FALSE
"5467",5467,AUDI RSQ8  quattro tiptronic,107800,01.2020,69'000,600,Automatikgetriebe,Benzin,8008 Zürich,2023-11-22,AUDI ,RSQ8 ,RSQ8  ,,FALSE
"5468",5468,BMW 116d Sport Line Steptronic,13500,09.2013,104'500,116,Automatikgetriebe,Diesel,3503 Gysenstein,2023-11-22,BMW ,116d ,116d Sport ,,FALSE
"5469",5469,VW T6.1 California Beach Spirit,66500,07.2021,37'500,180,Automatikgetriebe,Diesel,5737 Menziken,2023-11-22,VW ,T6.1 ,T6.1 California ,,FALSE
"5470",5470,SUZUKI Splash 1.2i 16V GL Top,2000,12.2009,135'500,86,Handschaltung,Benzin,1920 Martigny,2023-11-22,SUZUKI ,Splash ,Splash 1.2i ,,FALSE
"5471",5471,MERCEDES-BENZ GLA 35 AMG 4matic,68800,03.2023,6'000,306,Automatikgetriebe,Benzin,3018 Bern,2023-11-22,MERCEDES-BENZ ,GLA ,GLA 35 ,,FALSE
"5472",5472,VOLVO XC40 1.5 T3 Momentum,33120,06.2021,64'700,163,Automatikgetriebe,Benzin,4800 Zofingen,2023-11-22,VOLVO ,XC40 ,XC40 1.5 ,,FALSE
"5473",5473,AUDI RS4 Avant quattro tiptronic,131888,Neues Fahrzeug,49,450,Automatikgetriebe,Benzin,6343 Rotkreuz,2023-11-22,AUDI ,RS4 ,RS4 Avant ,,FALSE
"5474",5474,AUDI Q2 40 TFSI S line Attraction quattro S-tronic,54888,Neues Fahrzeug,49,190,Automatikgetriebe,Benzin,6343 Rotkreuz,2023-11-22,AUDI ,Q2 ,Q2 40 ,,FALSE
"5475",5475,BMW X4 M40d M-SPORT  *CH-FAHRZEUG,57900,12.2021,38'200,351,Automatikgetriebe,Diesel,8154 Oberglatt   ( Kanton ZH ) ,2023-11-22,BMW ,X4 ,X4 M40d ,,FALSE
"5476",5476,VW Golf 1.0 TSI Value,18900,04.2021,58'000,90,Handschaltung,Benzin,1032 Romanel sur Lausanne,2023-11-22,VW ,Golf ,Golf 1.0 ,,FALSE
"5477",5477,JEEP Grand Cherokee 3.0 CRD Overland Automatic,39900,11.2018,43'000,250,Automatikgetriebe,Diesel,1032 Romanel sur Lausanne,2023-11-22,JEEP ,Grand ,Grand Cherokee ,,FALSE
